                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9537,                 3.9663,                 1.6462,                0.02814,                0.04044,                 0.0152,                0.00517,                 1.4602,                 3.8762,                 1.0155,             0.00031673,             0.00031673,             0.00031673
                      2,                 2.3449,                 3.8765,                   1.42,                0.09229,                0.13548,                0.05838,                 0.0214,                 1.5777,                  3.819,                 1.0094,             0.00064798,             0.00064798,             0.00064798
                      3,                 2.3169,                 3.8581,                 1.3784,                0.05818,                0.04591,                 0.0433,                0.01979,                 1.7232,                 3.5234,                 1.0179,             0.00097704,             0.00097704,             0.00097704
                      4,                 1.4447,                 3.4962,                 1.1127,                0.05818,                0.04591,                 0.0433,                0.01979,                 1.7232,                 3.5234,                 1.0179,              0.0013039,              0.0013039,              0.0013039
                      5,                 1.5417,                 3.4843,                 1.0836,                0.05818,                0.04591,                 0.0433,                0.01979,                 1.7232,                 3.5234,                 1.0179,              0.0016285,              0.0016285,              0.0016285
                      6,                 1.5314,                 3.4917,                 1.1009,                0.05818,                0.04591,                 0.0433,                0.01979,                 1.7232,                 3.5234,                 1.0179,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.8039,                 3.0788,                 1.1111,                0.71065,                0.23325,                 0.1765,                0.06295,                 2.2873,                 2.6588,                 1.1147,              0.0016395,              0.0016395,              0.0016395
                      8,                 1.7664,                 2.9758,                 1.0809,                0.71065,                0.23325,                 0.1765,                0.06295,                 2.2873,                 2.6588,                 1.1147,               0.001634,               0.001634,               0.001634
                      9,                 1.8138,                 2.9579,                 1.0738,                0.71065,                0.23325,                 0.1765,                0.06295,                 2.2873,                 2.6588,                 1.1147,              0.0016285,              0.0016285,              0.0016285
                     10,                 1.6484,                 2.7784,                 1.0691,                0.39207,                0.47003,                 0.4028,                 0.1845,                  1.639,                 2.4764,                0.99973,               0.001623,               0.001623,               0.001623
                     11,                 1.6273,                 2.6566,                 1.0235,                0.39207,                0.47003,                 0.4028,                 0.1845,                  1.639,                 2.4764,                0.99973,              0.0016175,              0.0016175,              0.0016175
                     12,                 1.5998,                 2.6673,                 1.0302,                0.39207,                0.47003,                 0.4028,                 0.1845,                  1.639,                 2.4764,                0.99973,               0.001612,               0.001612,               0.001612
                     13,                 1.4693,                 2.5557,                 1.0202,                 0.3982,                0.55113,                0.41538,                0.18553,                 1.3795,                 2.3285,                0.94857,              0.0016065,              0.0016065,              0.0016065
                     14,                 1.5512,                 2.4152,                0.98549,                 0.3982,                0.55113,                0.41538,                0.18553,                 1.3795,                 2.3285,                0.94857,               0.001601,               0.001601,               0.001601
                     15,                 1.4092,                 2.4914,                0.97506,                 0.3982,                0.55113,                0.41538,                0.18553,                 1.3795,                 2.3285,                0.94857,              0.0015955,              0.0015955,              0.0015955
                     16,                 1.4897,                 2.4323,                 0.9876,                0.42517,                0.60366,                0.44145,                0.26666,                 1.3744,                 1.9756,                0.93119,                0.00159,                0.00159,                0.00159
